,sku,remaining_stock,cost_price,notation_3,name,minimum_group_price,minimum_markup,weight,name_of_shop,settlement_price,automatic_price_management,length,group_sellers_amount,price_before_discount,manual_control_min_price,width,parches,profit,id,height,settlement_price_factor,payback,volume_from_yandex,volume,notation_1,photo,notation_2
0,0020110,0,225.0,,Топор мини 520 г кованая сталь с деревянной ручкой удалец Skrab 20110,0.0,200.0,0.7,,540.0,True,19.0,0,648.0,False,5.0,45.0,215.0,2,21.0,2.4,104.6511627907,0.0,19.95,,,
1,0020111,0,395.0,,Плотницкий топор SKRAB 20111 бежевый,0.0,200.0,0.8,,948.0,True,30.0,0,1137.6,False,20.0,79.0,453.0,3,5.0,2.4,87.1964679912,0.0,30.0,,,
2,0020112,0,75.0,,Плотницкий топор SKRAB 20112 бежевый,0.0,200.0,0.8,,380.0,True,41.0,0,456.0,False,17.0,15.0,205.0,4,3.0,2.4,36.5853658537,0.0,20.91,,https://avatars.mds.yandex.net/get-marketpic/6727891/pic46b03549bc42da596314c6dc25ce30b7/orig,
3,0020113,1,70.0,,Плотницкий топор SKRAB 20113 бежевый,0.0,200.0,1.322,,368.0,True,42.4,0,441.6,False,21.3,14.0,198.0,5,3.9,2.4,35.3535353535,0.0,35.22168,,https://avatars.mds.yandex.net/get-marketpic/6727891/pic46b03549bc42da596314c6dc25ce30b7/orig,
4,0020118,1,250.0,,Столярный топор SKRAB 20118 бежевый,0.0,200.0,1.5,,600.0,True,50.0,0,720.0,False,30.0,50.0,250.0,6,5.0,2.4,100.0,0.0,75.0,,https://avatars.mds.yandex.net/get-marketpic/6410229/pic8332654d246e66a653b39f365879f17a/orig,
5,0020141,4,465.0,,Плотницкий топор SKRAB 20141 зелено-черный,0.0,200.0,0.935,,1116.0,True,35.0,0,1339.2,False,15.0,93.0,551.0,7,2.0,2.4,84.3920145191,0.0,10.5,,,
6,0020149,1,25.0,,Колун SKRAB 20149 зеленый,0.0,200.0,2.86,,260.0,True,85.0,0,312.0,False,20.0,5.0,135.0,8,3.5,2.4,18.5185185185,0.0,59.5,,,
7,0020341,0,300.0,,Топор 630-950г 450 мм фибергласс SKRAB 20341,0.0,200.0,1.135,,720.0,True,20.3,0,864.0,False,53.3,60.0,320.0,9,3.5,2.4,93.75,0.0,37.86965,,,
8,0020342,0,400.0,,"Топор кованный Fiber 820г 23,5"" 610мм 20342",0.0,200.0,3.0,,960.0,True,67.0,0,1152.0,False,20.0,80.0,460.0,10,3.0,2.4,86.9565217391,0.0,40.2,,,
9,0020346,0,225.0,,"Топор-колун кованный Fiber 1000г 28"" 720мм 20346",0.0,200.0,1.819,,540.0,True,19.5,0,648.0,False,78.8,45.0,215.0,11,4.4,2.4,104.6511627907,0.0,67.6104,,,
